dau1_pt,dau1_eta,dau1_iso,dau1_mass,dau1_tauIdVSjet,dau2_pt,dau2_eta,dau2_iso,dau2_mass,dau2_tauIdVSjet,bjet1_pt,bjet1_eta,bjet1_mass,bjet1_pNet,bjet2_pt,bjet2_eta,bjet2_mass,bjet2_pNet,pNet_sum,cat
52.75840377807617,0.9859619140625,-1.0,0.7885624766349792,8,40.46183776855469,0.47930908203125,-1.0,0.8733281493186951,8,110.75,-0.543212890625,13.4609375,0.98193359375,24.671875,-0.41192626953125,2.73828125,0.5263671875,1.50830078125,Both
52.32065200805664,-1.56787109375,-1.0,0.13324767351150513,8,43.828495025634766,-0.93359375,-1.0,1.1189062595367432,8,176.5,-1.0400390625,15.2265625,0.9990234375,45.0625,-1.842041015625,8.4296875,0.9990234375,1.998046875,Both
167.55609130859375,-0.830322265625,-1.0,0.407470703125,8,49.44758224487305,-1.664306640625,-1.0,0.7734375,2,-1,-20,-1,-1,-1,-20,-1,-1,-1,DiTau
46.28847122192383,-0.113525390625,-1.0,0.13324767351150513,8,58.71091842651367,-0.7061767578125,-1.0,8.935750007629395,0,96.3125,1.14599609375,11.2265625,0.4296875,29.4375,0.33831787109375,5.09375,0.39453125,0.82421875,DiTau
53.32257080078125,-1.10595703125,-1.0,0.13324767351150513,8,38.48491668701172,-0.28497314453125,-1.0,0.13324767351150513,1,147.75,-0.27288818359375,12.2265625,0.9541015625,64.125,-0.0634307861328125,7.5859375,0.48095703125,1.43505859375,Both
61.728755950927734,0.30682373046875,-1.0,0.7241406440734863,8,47.07941818237305,0.232940673828125,-1.0,0.13324767351150513,6,60.75,1.763671875,9.7421875,0.88818359375,20.484375,0.40789794921875,2.625,0.98095703125,1.869140625,Both
73.32447814941406,0.981201171875,-1.0,1.3112109899520874,3,55.24945831298828,2.00244140625,-1.0,1.1149219274520874,2,101.875,1.82275390625,14.1015625,0.8837890625,55.71875,0.7337646484375,9.3515625,0.9990234375,1.8828125,QuadJet
54.466041564941406,0.8121337890625,-1.0,1.4520058631896973,8,138.4723358154297,1.470458984375,-1.0,1.2513427734375,8,173.125,1.939453125,18.6875,0.84765625,20.046875,1.334716796875,1.970703125,0.708984375,1.556640625,DiTau
60.68739700317383,0.196044921875,-1.0,0.922249972820282,8,70.6962890625,1.211181640625,-1.0,1.3023779392242432,5,105.0,0.5560302734375,13.8515625,0.9990234375,48.4375,0.3458251953125,10.078125,0.908203125,1.9072265625,DiTau
149.65283203125,-1.428466796875,-1.0,0.8251953125,0,36.92407989501953,0.497802734375,-1.0,0.705078125,0,339.5,0.4554443359375,35.125,0.99951171875,54.375,0.9627685546875,7.9609375,0.99853515625,1.998046875,Both
50.61321258544922,0.66162109375,-1.0,1.0016875267028809,8,110.29998779296875,1.8388671875,-1.0,1.124261736869812,6,127.8125,0.8072509765625,8.6171875,0.99169921875,81.5625,1.531982421875,11.2890625,0.998046875,1.98974609375,Both
32.272701263427734,0.5692138671875,-1.0,1.0246288776397705,8,47.23442459106445,1.712158203125,-1.0,0.13324767351150513,8,98.0625,1.527587890625,10.84375,0.9970703125,85.5,1.017333984375,8.703125,0.99951171875,1.99658203125,Both
58.72385787963867,0.51171875,-1.0,1.2970722913742065,8,39.15531539916992,0.971923828125,-1.0,5.0607500076293945,0,88.0625,1.46142578125,12.8359375,0.9775390625,32.59375,1.13525390625,4.8125,0.9912109375,1.96875,QuadJet
65.64151763916016,1.292236328125,-1.0,1.162500023841858,8,41.6059455871582,0.184722900390625,-1.0,0.13324767351150513,1,179.125,1.05859375,30.171875,0.9951171875,45.625,0.5771484375,7.06640625,0.99658203125,1.99169921875,QuadJet
52.706783294677734,-0.3443603515625,-1.0,1.0530908107757568,8,76.75009155273438,-0.7066650390625,-1.0,0.9480761885643005,7,146.5,0.37921142578125,11.609375,0.99951171875,43.40625,-0.7630615234375,4.875,0.99169921875,1.9912109375,Both
55.08671951293945,0.0816802978515625,-1.0,0.13324767351150513,6,51.21682357788086,-1.154296875,-1.0,6.316249847412109,0,105.5625,-0.8126220703125,10.3125,0.75,52.65625,-2.21875,10.265625,0.66650390625,1.41650390625,DiTau
34.19591522216797,-1.532470703125,-1.0,0.13324767351150513,8,162.64276123046875,-1.185546875,-1.0,0.85888671875,8,200.5,-1.156005859375,19.84375,0.916015625,21.390625,-1.017333984375,3.044921875,0.85546875,1.771484375,DiTau
42.4691276550293,-0.49700927734375,-1.0,0.7004062533378601,7,42.500064849853516,-1.1884765625,-1.0,1.1875488758087158,3,89.625,0.8126220703125,13.4140625,0.97314453125,17.859375,-0.6661376953125,4.20703125,0.454833984375,1.427978515625,DiTau
67.62907409667969,2.00634765625,-1.0,0.46669530868530273,8,36.63419723510742,0.652099609375,-1.0,1.475406289100647,1,110.1875,0.9493408203125,19.21875,0.9921875,68.3125,1.048828125,12.8359375,0.85546875,1.84765625,QuadJet
52.47883987426758,-1.762939453125,-1.0,1.599987268447876,7,64.0108413696289,-1.459228515625,-1.0,0.13324767351150513,7,183.125,-1.59228515625,18.46875,0.60107421875,57.28125,-0.8941650390625,6.171875,0.9990234375,1.60009765625,Both
81.30992126464844,0.750244140625,-1.0,1.2981250286102295,8,40.22532272338867,0.8687744140625,-1.0,0.328857421875,6,150.375,0.765625,14.5625,0.99951171875,19.578125,1.32177734375,2.2734375,0.97705078125,1.9765625,Both
